StateName,BusRoute,RouteLink,Route_Name,BusName,BusType,BusDepartureTime,BusReachingTime,Bus_Duration,BusRating,TicketPrice,SeatAvailability,AvailableSeats,From_Place,To_Place
apsrtc,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada Bus,APSRTC - 35188,VENNELA (A.C. SLEEPER),00:40,06:25,05h 45m,4.5,INR 737,12 Seats available,12,Hyderabad,Vijayawada
apsrtc,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada Bus,APSRTC - 3563,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:00,07:15,06h 15m,4.0,INR 412,31 Seats available,31,Hyderabad,Vijayawada
apsrtc,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada Bus,APSRTC - 35266,VENNELA (A.C. SLEEPER),01:25,07:10,05h 45m,4.7,INR 737,15 Seats available,15,Hyderabad,Vijayawada
apsrtc,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada Bus,APSRTC - 3590,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:45,07:15,05h 30m,4.5,INR 412,33 Seats available,33,Hyderabad,Vijayawada
apsrtc,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada Bus,APSRTC - 3058,VENNELA (A.C. SLEEPER),02:10,07:55,05h 45m,4.6,INR 737,11 Seats available,11,Hyderabad,Vijayawada
apsrtc,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada Bus,APSRTC - 3548,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",03:00,09:20,06h 20m,4.0,INR 412,32 Seats available,32,Hyderabad,Vijayawada
apsrtc,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada Bus,APSRTC - 35197,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),03:10,08:35,05h 25m,4.2,INR 633,40 Seats available,40,Hyderabad,Vijayawada
apsrtc,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada Bus,APSRTC - 35190,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),04:10,09:30,05h 20m,4.3,INR 633,44 Seats available,44,Hyderabad,Vijayawada
apsrtc,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada Bus,APSRTC - 3558,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),04:20,09:20,05h 00m,4.2,INR 633,9 Seats available,9,Hyderabad,Vijayawada
apsrtc,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada Bus,APSRTC - 35267,INDRA(A.C. Seater),04:40,10:04,05h 24m,4.4,INR 498,26 Seats available,26,Hyderabad,Vijayawada
apsrtc,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada Bus,APSRTC - 3540,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:45,12:05,07h 20m,4.1,INR 412,10 Seats available,10,Hyderabad,Vijayawada
